Year,Revenue,Net Profit,Revenue YoY Growth %,Profit YoY Growth %,Net Profit Margin %
2022,694673,67845,,,9.76646566082171
2023,876396,74088,26.159502384575184,9.201857174441752,8.45371270521545
2024,899041,79020,2.58387760783938,6.65694849368319,8.789365557299389
2025,962820,81309,7.094114728916701,2.8967350037965023,8.444880663052285
2026,1057219,95754,9.804428657485298,17.765561008006504,9.057158450614299
